 time            time            v(inp)          v(inn)          v(vamp)         v(rxout)       
 1.29000000e-10  1.29000000e-10  9.50000000e-01  8.50000000e-01  1.13599713e+00  1.44665786e+00 
 1.31000000e-10  1.31000000e-10  9.50000000e-01  8.50000000e-01  1.14535246e+00  1.41867195e+00 
 1.33000000e-10  1.33000000e-10  9.50000000e-01  8.50000000e-01  1.15441111e+00  1.38999761e+00 
 1.35000000e-10  1.35000000e-10  9.50000000e-01  8.50000000e-01  1.16315449e+00  1.36066676e+00 
 1.37000000e-10  1.37000000e-10  9.50000000e-01  8.50000000e-01  1.17161850e+00  1.33071859e+00 
 1.39000000e-10  1.39000000e-10  9.50000000e-01  8.50000000e-01  1.17978777e+00  1.30018387e+00 
 1.41000000e-10  1.41000000e-10  9.50000000e-01  8.50000000e-01  1.18769581e+00  1.26909914e+00 
 1.43000000e-10  1.43000000e-10  9.50000000e-01  8.50000000e-01  1.19532990e+00  1.23749388e+00 
 1.45000000e-10  1.45000000e-10  9.50000000e-01  8.50000000e-01  1.20272128e+00  1.20540219e+00 
 1.47000000e-10  1.47000000e-10  9.50000000e-01  8.50000000e-01  1.20985916e+00  1.17285220e+00 
 1.49000000e-10  1.49000000e-10  9.50000000e-01  8.50000000e-01  1.21677238e+00  1.13987590e+00 
 1.51000000e-10  1.51000000e-10  9.50000000e-01  8.50000000e-01  1.22345131e+00  1.10650031e+00 
 1.53000000e-10  1.53000000e-10  9.50000000e-01  8.50000000e-01  1.22992216e+00  1.07275572e+00 
 1.55000000e-10  1.55000000e-10  9.50000000e-01  8.50000000e-01  1.23617602e+00  1.03866831e+00 
 1.57000000e-10  1.57000000e-10  9.50000000e-01  8.50000000e-01  1.24223670e+00  1.00426704e+00 
 1.59000000e-10  1.59000000e-10  9.50000000e-01  8.50000000e-01  1.24809610e+00  9.69577395e-01 
 1.61000000e-10  1.61000000e-10  9.50000000e-01  8.50000000e-01  1.25377604e+00  9.34627278e-01 
 1.63000000e-10  1.63000000e-10  9.50000000e-01  8.50000000e-01  1.25926927e+00  8.99441738e-01 
 1.65000000e-10  1.65000000e-10  9.50000000e-01  8.50000000e-01  1.26459596e+00  8.64048009e-01 
 1.67000000e-10  1.67000000e-10  9.50000000e-01  8.50000000e-01  1.26974964e+00  8.28471093e-01 
 1.69000000e-10  1.69000000e-10  9.50000000e-01  8.50000000e-01  1.27474898e+00  7.92738159e-01 
 1.71000000e-10  1.71000000e-10  9.50000000e-01  8.50000000e-01  1.27958811e+00  7.56874854e-01 
 1.73000000e-10  1.73000000e-10  9.50000000e-01  8.50000000e-01  1.28428420e+00  7.20909247e-01 
 1.75000000e-10  1.75000000e-10  9.50000000e-01  8.50000000e-01  1.28883170e+00  6.84868843e-01 
 1.77000000e-10  1.77000000e-10  9.50000000e-01  8.50000000e-01  1.29324613e+00  6.48784299e-01 
 1.79000000e-10  1.79000000e-10  9.50000000e-01  8.50000000e-01  1.29752165e+00  6.12687247e-01 
 1.81000000e-10  1.81000000e-10  9.50000000e-01  8.50000000e-01  1.30167138e+00  5.76614200e-01 
 1.83000000e-10  1.83000000e-10  9.50000000e-01  8.50000000e-01  1.30568770e+00  5.40605649e-01 
 1.85000000e-10  1.85000000e-10  9.50000000e-01  8.50000000e-01  1.30957890e+00  5.04711107e-01 
 1.87000000e-10  1.87000000e-10  9.50000000e-01  8.50000000e-01  1.31333119e+00  4.68990878e-01 
 1.89000000e-10  1.89000000e-10  9.50000000e-01  8.50000000e-01  1.31694083e+00  4.33524589e-01 
 1.91000000e-10  1.91000000e-10  9.50000000e-01  8.50000000e-01  1.32037691e+00  3.98418641e-01 
 1.93000000e-10  1.93000000e-10  9.50000000e-01  8.50000000e-01  1.32361141e+00  3.63820923e-01 
 1.95000000e-10  1.95000000e-10  9.50000000e-01  8.50000000e-01  1.32659329e+00  3.29932480e-01 
 1.97000000e-10  1.97000000e-10  9.50000000e-01  8.50000000e-01  1.32929837e+00  2.97018326e-01 
 1.99000000e-10  1.99000000e-10  9.50000000e-01  8.50000000e-01  1.33172878e+00  2.65402568e-01 
 2.01000000e-10  2.01000000e-10  9.50000000e-01  8.50000000e-01  1.33395318e+00  2.35441225e-01 
 2.03000000e-10  2.03000000e-10  9.50000000e-01  8.50000000e-01  1.33606223e+00  2.07459159e-01 
 2.05000000e-10  2.05000000e-10  9.50000000e-01  8.50000000e-01  1.33816480e+00  1.81686196e-01 
 2.07000000e-10  2.07000000e-10  9.50000000e-01  8.50000000e-01  1.34033987e+00  1.58236063e-01 
 2.09000000e-10  2.09000000e-10  9.50000000e-01  8.50000000e-01  1.34265228e+00  1.37126230e-01 
 2.11000000e-10  2.11000000e-10  9.50000000e-01  8.50000000e-01  1.34513239e+00  1.18299954e-01 
 2.13000000e-10  2.13000000e-10  9.50000000e-01  8.50000000e-01  1.34780216e+00  1.01650608e-01 
 2.15000000e-10  2.15000000e-10  9.50000000e-01  8.50000000e-01  1.35065816e+00  8.70370338e-02 
 2.17000000e-10  2.17000000e-10  9.50000000e-01  8.50000000e-01  1.35369671e+00  7.42978770e-02 
 2.19000000e-10  2.19000000e-10  9.50000000e-01  8.50000000e-01  1.35689689e+00  6.32605912e-02 
 2.21000000e-10  2.21000000e-10  9.50000000e-01  8.50000000e-01  1.36024340e+00  5.37507811e-02 
 2.23000000e-10  2.23000000e-10  9.50000000e-01  8.50000000e-01  1.36370897e+00  4.55971339e-02 
 2.25000000e-10  2.25000000e-10  9.50000000e-01  8.50000000e-01  1.36727525e+00  3.86370615e-02 
 2.27000000e-10  2.27000000e-10  9.50000000e-01  8.50000000e-01  1.37091509e+00  3.27185308e-02 
 2.29000000e-10  2.29000000e-10  9.50000000e-01  8.50000000e-01  1.37461168e+00  2.77029159e-02 
 2.31000000e-10  2.31000000e-10  9.50000000e-01  8.50000000e-01  1.37834103e+00  2.34647390e-02 
 2.33000000e-10  2.33000000e-10  9.50000000e-01  8.50000000e-01  1.38208981e+00  1.98927279e-02 
 2.35000000e-10  2.35000000e-10  9.50000000e-01  8.50000000e-01  1.38583821e+00  1.68884093e-02 
 2.37000000e-10  2.37000000e-10  9.50000000e-01  8.50000000e-01  1.38957678e+00  1.43662075e-02 
 2.39000000e-10  2.39000000e-10  9.50000000e-01  8.50000000e-01  1.39328984e+00  1.22515850e-02 
 2.41000000e-10  2.41000000e-10  9.50000000e-01  8.50000000e-01  1.39697142e+00  1.04807459e-02 
 2.43000000e-10  2.43000000e-10  9.50000000e-01  8.50000000e-01  1.40060943e+00  8.99874449e-03 
 2.45000000e-10  2.45000000e-10  9.50000000e-01  8.50000000e-01  1.40420078e+00  7.75910813e-03 
 2.47000000e-10  2.47000000e-10  9.50000000e-01  8.50000000e-01  1.40773626e+00  6.72212406e-03 
 2.49000000e-10  2.49000000e-10  9.50000000e-01  8.50000000e-01  1.41121502e+00  5.85452611e-03 
 2.51000000e-10  2.51000000e-10  9.50000000e-01  8.50000000e-01  1.41463006e+00  5.12803600e-03 
 2.53000000e-10  2.53000000e-10  9.50000000e-01  8.50000000e-01  1.41798216e+00  4.51916058e-03 
 2.55000000e-10  2.55000000e-10  9.50000000e-01  8.50000000e-01  1.42126601e+00  4.00799255e-03 
 2.57000000e-10  2.57000000e-10  9.50000000e-01  8.50000000e-01  1.42448354e+00  3.57811609e-03 
 2.59000000e-10  2.59000000e-10  9.50000000e-01  8.50000000e-01  1.42763068e+00  3.21564051e-03 
 2.61000000e-10  2.61000000e-10  9.50000000e-01  8.50000000e-01  1.43071012e+00  2.90919248e-03 
 2.63000000e-10  2.63000000e-10  9.50000000e-01  8.50000000e-01  1.43371873e+00  2.64914609e-03 
 2.65000000e-10  2.65000000e-10  9.50000000e-01  8.50000000e-01  1.43665969e+00  2.42767566e-03 
 2.67000000e-10  2.67000000e-10  9.50000000e-01  8.50000000e-01  1.43953053e+00  2.23814607e-03 
 2.69000000e-10  2.69000000e-10  9.50000000e-01  8.50000000e-01  1.44233473e+00  2.07520256e-03 
 2.71000000e-10  2.71000000e-10  9.50000000e-01  8.50000000e-01  1.44507030e+00  1.93428977e-03 
 2.73000000e-10  2.73000000e-10  9.50000000e-01  8.50000000e-01  1.44774087e+00  1.81175965e-03 
 2.75000000e-10  2.75000000e-10  9.50000000e-01  8.50000000e-01  1.45034481e+00  1.70449346e-03 
 2.77000000e-10  2.77000000e-10  9.50000000e-01  8.50000000e-01  1.45288581e+00  1.61001372e-03 
 2.79000000e-10  2.79000000e-10  9.50000000e-01  8.50000000e-01  1.45536249e+00  1.52618888e-03 
 2.81000000e-10  2.81000000e-10  9.50000000e-01  8.50000000e-01  1.45777852e+00  1.45133943e-03 
 2.83000000e-10  2.83000000e-10  9.50000000e-01  8.50000000e-01  1.46013272e+00  1.38400929e-03 
 2.85000000e-10  2.85000000e-10  9.50000000e-01  8.50000000e-01  1.46242869e+00  1.32306009e-03 
 2.87000000e-10  2.87000000e-10  9.50000000e-01  8.50000000e-01  1.46466541e+00  1.26749661e-03 
 2.89000000e-10  2.89000000e-10  9.50000000e-01  8.50000000e-01  1.46684638e+00  1.21654561e-03 
 2.91000000e-10  2.91000000e-10  9.50000000e-01  8.50000000e-01  1.46897068e+00  1.16952577e-03 
 2.93000000e-10  2.93000000e-10  9.50000000e-01  8.50000000e-01  1.47104172e+00  1.12590911e-03 
 2.95000000e-10  2.95000000e-10  9.50000000e-01  8.50000000e-01  1.47305865e+00  1.08522803e-03 
 2.97000000e-10  2.97000000e-10  9.50000000e-01  8.50000000e-01  1.47502477e+00  1.04711862e-03 
 2.99000000e-10  2.99000000e-10  9.50000000e-01  8.50000000e-01  1.47693930e+00  1.01125891e-03 
 3.01000000e-10  3.01000000e-10  9.50000000e-01  8.50000000e-01  1.47880540e+00  9.77394316e-04 
 3.03000000e-10  3.03000000e-10  9.50000000e-01  8.50000000e-01  1.48062235e+00  9.45302393e-04 
 3.05000000e-10  3.05000000e-10  9.50000000e-01  8.50000000e-01  1.48239319e+00  9.14801158e-04 
 3.07000000e-10  3.07000000e-10  9.50000000e-01  8.50000000e-01  1.48411724e+00  8.85736483e-04 
 3.09000000e-10  3.09000000e-10  9.50000000e-01  8.50000000e-01  1.48579743e+00  8.57974428e-04 
 3.11000000e-10  3.11000000e-10  9.50000000e-01  8.50000000e-01  1.48743309e+00  8.31408106e-04 
 3.13000000e-10  3.13000000e-10  9.50000000e-01  8.50000000e-01  1.48902703e+00  8.05935274e-04 
 3.15000000e-10  3.15000000e-10  9.50000000e-01  8.50000000e-01  1.49057863e+00  7.81482029e-04 
 3.17000000e-10  3.17000000e-10  9.50000000e-01  8.50000000e-01  1.49209057e+00  7.57966987e-04 
 3.19000000e-10  3.19000000e-10  9.50000000e-01  8.50000000e-01  1.49356227e+00  7.35339565e-04 
 3.21000000e-10  3.21000000e-10  9.50000000e-01  8.50000000e-01  1.49499627e+00  7.13532087e-04 
 3.23000000e-10  3.23000000e-10  9.50000000e-01  8.50000000e-01  1.49639203e+00  6.92510706e-04 
 3.25000000e-10  3.25000000e-10  9.50000000e-01  8.50000000e-01  1.49775198e+00  6.72216760e-04 
 3.27000000e-10  3.27000000e-10  9.50000000e-01  8.50000000e-01  1.49907559e+00  6.52628625e-04 
 3.29000000e-10  3.29000000e-10  9.50000000e-01  8.50000000e-01  1.50036520e+00  6.33693583e-04 
 3.31000000e-10  3.31000000e-10  9.50000000e-01  8.50000000e-01  1.50162028e+00  6.15399112e-04 
 3.33000000e-10  3.33000000e-10  9.50000000e-01  8.50000000e-01  1.50284307e+00  5.97696447e-04 
 3.35000000e-10  3.35000000e-10  9.50000000e-01  8.50000000e-01  1.50403308e+00  5.80579979e-04 
 3.37000000e-10  3.37000000e-10  9.50000000e-01  8.50000000e-01  1.50519244e+00  5.64003614e-04 
 3.39000000e-10  3.39000000e-10  9.50000000e-01  8.50000000e-01  1.50632066e+00  5.47967097e-04 
 3.41000000e-10  3.41000000e-10  9.50000000e-01  8.50000000e-01  1.50741979e+00  5.32426189e-04 
 3.43000000e-10  3.43000000e-10  9.50000000e-01  8.50000000e-01  1.50848936e+00  5.17384859e-04 
 3.45000000e-10  3.45000000e-10  9.50000000e-01  8.50000000e-01  1.50953132e+00  5.02800209e-04 
 3.47000000e-10  3.47000000e-10  9.50000000e-01  8.50000000e-01  1.51054522e+00  4.88679592e-04 
 3.49000000e-10  3.49000000e-10  9.50000000e-01  8.50000000e-01  1.51153291e+00  4.74981136e-04 
 3.51000000e-10  3.51000000e-10  9.50000000e-01  8.50000000e-01  1.51249398e+00  4.61714942e-04 
 3.53000000e-10  3.53000000e-10  9.50000000e-01  8.50000000e-01  1.51343018e+00  4.48839978e-04 
 3.55000000e-10  3.55000000e-10  9.50000000e-01  8.50000000e-01  1.51434111e+00  4.36368592e-04 
 3.57000000e-10  3.57000000e-10  9.50000000e-01  8.50000000e-01  1.51522845e+00  4.24260488e-04 
 3.59000000e-10  3.59000000e-10  9.50000000e-01  8.50000000e-01  1.51609181e+00  4.12529864e-04 
 3.61000000e-10  3.61000000e-10  9.50000000e-01  8.50000000e-01  1.51693280e+00  4.01137108e-04 
 3.63000000e-10  3.63000000e-10  9.50000000e-01  8.50000000e-01  1.51775103e+00  3.90097945e-04 
 3.65000000e-10  3.65000000e-10  9.50000000e-01  8.50000000e-01  1.51854804e+00  3.79373423e-04 
 3.67000000e-10  3.67000000e-10  9.50000000e-01  8.50000000e-01  1.51932346e+00  3.68980524e-04 
 3.69000000e-10  3.69000000e-10  9.50000000e-01  8.50000000e-01  1.52007876e+00  3.58880956e-04 
 3.71000000e-10  3.71000000e-10  9.50000000e-01  8.50000000e-01  1.52081357e+00  3.49092733e-04 
 3.73000000e-10  3.73000000e-10  9.50000000e-01  8.50000000e-01  1.52152931e+00  3.39578227e-04 
 3.75000000e-10  3.75000000e-10  9.50000000e-01  8.50000000e-01  1.52222561e+00  3.30356288e-04 
 3.77000000e-10  3.77000000e-10  9.50000000e-01  8.50000000e-01  1.52290382e+00  3.21389972e-04 
 3.79000000e-10  3.79000000e-10  9.50000000e-01  8.50000000e-01  1.52356360e+00  3.12698795e-04 
 3.81000000e-10  3.81000000e-10  9.50000000e-01  8.50000000e-01  1.52420623e+00  3.04246512e-04 
 3.83000000e-10  3.83000000e-10  9.50000000e-01  8.50000000e-01  1.52483138e+00  2.96053159e-04 
 3.85000000e-10  3.85000000e-10  9.50000000e-01  8.50000000e-01  1.52544027e+00  2.88083207e-04 
 3.87000000e-10  3.87000000e-10  9.50000000e-01  8.50000000e-01  1.52603257e+00  2.80357085e-04 
 3.89000000e-10  3.89000000e-10  9.50000000e-01  8.50000000e-01  1.52660947e+00  2.72839997e-04 
 3.91000000e-10  3.91000000e-10  9.50000000e-01  8.50000000e-01  1.52717065e+00  2.65552648e-04 
 3.93000000e-10  3.93000000e-10  9.50000000e-01  8.50000000e-01  1.52771721e+00  2.58460991e-04 
 3.95000000e-10  3.95000000e-10  9.50000000e-01  8.50000000e-01  1.52824887e+00  2.51585911e-04 
 3.97000000e-10  3.97000000e-10  9.50000000e-01  8.50000000e-01  1.52876668e+00  2.44894118e-04 
 3.99000000e-10  3.99000000e-10  9.50000000e-01  8.50000000e-01  1.52927036e+00  2.38406592e-04 
 4.01000000e-10  4.01000000e-10  9.50000000e-01  8.50000000e-01  1.52976092e+00  2.32090811e-04 
 4.03000000e-10  4.03000000e-10  9.50000000e-01  8.50000000e-01  1.53023806e+00  2.25967769e-04 
 4.05000000e-10  4.05000000e-10  9.50000000e-01  8.50000000e-01  1.53070278e+00  2.20005721e-04 
 4.07000000e-10  4.07000000e-10  9.50000000e-01  8.50000000e-01  1.53115479e+00  2.14225612e-04 
 4.09000000e-10  4.09000000e-10  9.50000000e-01  8.50000000e-01  1.53159502e+00  2.08596474e-04 
 4.11000000e-10  4.11000000e-10  9.50000000e-01  8.50000000e-01  1.53202320e+00  2.03139142e-04 
 4.13000000e-10  4.13000000e-10  9.50000000e-01  8.50000000e-01  1.53244022e+00  1.97823433e-04 
 4.15000000e-10  4.15000000e-10  9.50000000e-01  8.50000000e-01  1.53284581e+00  1.92670019e-04 
 4.17000000e-10  4.17000000e-10  9.50000000e-01  8.50000000e-01  1.53324083e+00  1.87649499e-04 
 4.19000000e-10  4.19000000e-10  9.50000000e-01  8.50000000e-01  1.53362502e+00  1.82782340e-04 
 4.21000000e-10  4.21000000e-10  9.50000000e-01  8.50000000e-01  1.53399919e+00  1.78039922e-04 
 4.23000000e-10  4.23000000e-10  9.50000000e-01  8.50000000e-01  1.53436310e+00  1.73442466e-04 
 4.25000000e-10  4.25000000e-10  9.50000000e-01  8.50000000e-01  1.53471752e+00  1.68962130e-04 
 4.27000000e-10  4.27000000e-10  9.50000000e-01  8.50000000e-01  1.53506220e+00  1.64618856e-04 
 4.29000000e-10  4.29000000e-10  9.50000000e-01  8.50000000e-01  1.53539790e+00  1.60385576e-04 
 4.31000000e-10  4.31000000e-10  9.50000000e-01  8.50000000e-01  1.53572437e+00  1.56281921e-04 
 4.33000000e-10  4.33000000e-10  9.50000000e-01  8.50000000e-01  1.53604233e+00  1.52281591e-04 
 4.35000000e-10  4.35000000e-10  9.50000000e-01  8.50000000e-01  1.53635154e+00  1.48403884e-04 
 4.37000000e-10  4.37000000e-10  9.50000000e-01  8.50000000e-01  1.53665270e+00  1.44623258e-04 
 4.39000000e-10  4.39000000e-10  9.50000000e-01  8.50000000e-01  1.53694556e+00  1.40958660e-04 
 4.41000000e-10  4.41000000e-10  9.50000000e-01  8.50000000e-01  1.53723079e+00  1.37385294e-04 
 4.43000000e-10  4.43000000e-10  9.50000000e-01  8.50000000e-01  1.53750816e+00  1.33921737e-04 
 4.45000000e-10  4.45000000e-10  9.50000000e-01  8.50000000e-01  1.53777830e+00  1.30543933e-04 
 4.47000000e-10  4.47000000e-10  9.50000000e-01  8.50000000e-01  1.53804099e+00  1.27270074e-04 
 4.49000000e-10  4.49000000e-10  9.50000000e-01  8.50000000e-01  1.53829684e+00  1.24076832e-04 
 4.51000000e-10  4.51000000e-10  9.50000000e-01  8.50000000e-01  1.53854563e+00  1.20982001e-04 
 4.53000000e-10  4.53000000e-10  9.50000000e-01  8.50000000e-01  1.53878794e+00  1.17962972e-04 
 4.55000000e-10  4.55000000e-10  9.50000000e-01  8.50000000e-01  1.53902355e+00  1.15037132e-04 
 4.57000000e-10  4.57000000e-10  9.50000000e-01  8.50000000e-01  1.53925303e+00  1.12182576e-04 
 4.59000000e-10  4.59000000e-10  9.50000000e-01  8.50000000e-01  1.53947617e+00  1.09416280e-04 
 4.61000000e-10  4.61000000e-10  9.50000000e-01  8.50000000e-01  1.53969349e+00  1.06717027e-04 
 4.63000000e-10  4.63000000e-10  9.50000000e-01  8.50000000e-01  1.53990481e+00  1.04101379e-04 
 4.65000000e-10  4.65000000e-10  9.50000000e-01  8.50000000e-01  1.54011062e+00  1.01548794e-04 
 4.67000000e-10  4.67000000e-10  9.50000000e-01  8.50000000e-01  1.54031074e+00  9.90754151e-05 
 4.69000000e-10  4.69000000e-10  9.50000000e-01  8.50000000e-01  1.54050565e+00  9.66613637e-05 
